,Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Rating (Out of 5)
257,FOSSIL ,Smartwatch,Charter Hybrid HR,Black,"14,021","16,495",3.9
258,FOSSIL ,Smartwatch,Q Wander,Gold,"19,995","19,995",4.0
259,FOSSIL ,Smartwatch,Q Founder,Silver,"19,995","19,995",4.2
260,FOSSIL ,Smartwatch,Garrett Hybrid,Black,"6,995","11,995",3.7
261,FOSSIL ,Smartwatch,Q Explorist,Black,"19,995","19,995",4.4
262,FOSSIL ,Smartwatch,Marshall,Grey,"18,995","18,995",4.0
263,FOSSIL ,Smartwatch,Gen 3 Q Venture,"Black, Gold","15,396","21,995",4.3
264,FOSSIL ,Smartwatch,FTW4003,Brown,"19,995","19,995",3.1
265,FOSSIL ,Smartwatch,Gen 5E,"Grey, Multicolor","18,495","18,495",4.6
266,FOSSIL ,Smartwatch,Sport 43,Black,"9,995","17,995",4.0
267,FOSSIL ,Smartwatch,The Carlyle HR,Black,"25,995","25,995",4.2
268,FOSSIL ,Smartwatch,Garrett HR,Gold,"15,995","22,995",4.1
269,FOSSIL ,Smartwatch,4th Gen Explorist HR,Grey,"10,998","21,995",3.9
270,FOSSIL ,Smartwatch,Sport,Red,"17,995","17,995",4.6
271,FOSSIL ,Smartwatch,FTW6001,Gold,"21,995","21,995",4.2
272,FOSSIL ,Smartwatch,Q Founder 2.0,Black,"19,995","19,995",4.2
273,FOSSIL ,Smartwatch,Cameron Hybrid,Black,"8,995","13,495",4.6
274,FOSSIL ,Smartwatch,Gen 3 Q Explorist,Black,"15,749","19,995",4.1
275,FOSSIL ,Smartwatch,4th Gen Venture HR,Black,"17,596","21,995",3.9
276,FOSSIL ,Smartwatch,FTW6005,Black,"19,995","19,995",3.8
277,FOSSIL ,Smartwatch,Marshall,Black,"19,995","19,995",4.1
278,FOSSIL ,Smartwatch,Garrett Hybrid,Brown,"11,995","11,995",3.7
279,FOSSIL ,Smartwatch,4th Gen Venture HR,Silver,"10,997","21,995",3.9
280,FOSSIL ,Smartwatch,Marshall,Blue,"19,995","19,995",4.1
281,FOSSIL ,Smartwatch,FTW1161 Hybrid,Gold,"8,995","14,495",4.3
282,FOSSIL ,Smartwatch,FTW1142 Q Hybrid,Silver,"9,796","13,995",3.7
